"years","school","position","career","name","year"
"1991–2000","Toledo","HC","Coaching","Gary Pinkel",1993
"1991–2000","Toledo","HC","Coaching","Gary Pinkel",1994
"1991–2000","Toledo","HC","Coaching","Gary Pinkel",1995
"1991–2000","Toledo","HC","Coaching","Gary Pinkel",1996
"1991–2000","Toledo","HC","Coaching","Gary Pinkel",1997
"1991–2000","Toledo","HC","Coaching","Gary Pinkel",1998
"1991–2000","Toledo","HC","Coaching","Gary Pinkel",1999
"1991–2000","Toledo","HC","Coaching","Gary Pinkel",2000
"2001–2013","Missouri","HC","Coaching","Gary Pinkel",2001
"2001–2013","Missouri","HC","Coaching","Gary Pinkel",2002
"2001–2013","Missouri","HC","Coaching","Gary Pinkel",2003
"2001–2013","Missouri","HC","Coaching","Gary Pinkel",2004
"2001–2013","Missouri","HC","Coaching","Gary Pinkel",2005
"2001–2013","Missouri","HC","Coaching","Gary Pinkel",2006
"2001–2013","Missouri","HC","Coaching","Gary Pinkel",2007
"2001–2013","Missouri","HC","Coaching","Gary Pinkel",2008
"2001–2013","Missouri","HC","Coaching","Gary Pinkel",2009
"2001–2013","Missouri","HC","Coaching","Gary Pinkel",2010
"2001–2013","Missouri","HC","Coaching","Gary Pinkel",2011
"2001–2013","Missouri","HC","Coaching","Gary Pinkel",2012
"2001–2013","Missouri","HC","Coaching","Gary Pinkel",2013
"1990–1991","Rutgers","GA","Coaching","Butch Jones",1990
"1990–1991","Rutgers","GA","Coaching","Butch Jones",1991
"1992–1994","Wilkes","OC","Coaching","Butch Jones",1992
"1992–1994","Wilkes","OC","Coaching","Butch Jones",1993
"1992–1994","Wilkes","OC","Coaching","Butch Jones",1994
"1995–1997","Ferris State","OC","Coaching","Butch Jones",1995
"1995–1997","Ferris State","OC","Coaching","Butch Jones",1996
"1995–1997","Ferris State","OC","Coaching","Butch Jones",1997
"1998","Central Michigan","TE","Coaching","Butch Jones",1998
"1999–2001","Central Michigan","RB","Coaching","Butch Jones",1999
"1999–2001","Central Michigan","RB","Coaching","Butch Jones",2000
"1999–2001","Central Michigan","RB","Coaching","Butch Jones",2001
"2002–2004","Central Michigan","OC","Coaching","Butch Jones",2002
"2002–2004","Central Michigan","OC","Coaching","Butch Jones",2003
"2002–2004","Central Michigan","OC","Coaching","Butch Jones",2004
"2005–2006","West Virginia","WR","Coaching","Butch Jones",2005
"2005–2006","West Virginia","WR","Coaching","Butch Jones",2006
"2007–2009","Central Michigan","HC","Coaching","Butch Jones",2007
"2007–2009","Central Michigan","HC","Coaching","Butch Jones",2008
"2007–2009","Central Michigan","HC","Coaching","Butch Jones",2009
"2010–2012","Cincinnati","HC","Coaching","Butch Jones",2010
"2010–2012","Cincinnati","HC","Coaching","Butch Jones",2011
"2010–2012","Cincinnati","HC","Coaching","Butch Jones",2012
"2013–2013","Tennessee","HC","Coaching","Butch Jones",2013
"1988–1990","Washington State","GA","Coaching","Kevin Sumlin",1988
"1988–1990","Washington State","GA","Coaching","Kevin Sumlin",1989
"1988–1990","Washington State","GA","Coaching","Kevin Sumlin",1990
"1991–1992","Wyoming","WR","Coaching","Kevin Sumlin",1991
"1991–1992","Wyoming","WR","Coaching","Kevin Sumlin",1992
"1993–1996","Minnesota","WR","Coaching","Kevin Sumlin",1993
"1993–1996","Minnesota","WR","Coaching","Kevin Sumlin",1994
"1993–1996","Minnesota","WR","Coaching","Kevin Sumlin",1995
"1993–1996","Minnesota","WR","Coaching","Kevin Sumlin",1996
"1997","Minnesota","QB","Coaching","Kevin Sumlin",1997
"1998–2000","Purdue","WR","Coaching","Kevin Sumlin",1998
"1998–2000","Purdue","WR","Coaching","Kevin Sumlin",1999
"1998–2000","Purdue","WR","Coaching","Kevin Sumlin",2000
"2001–2002","Texas A&M","OC/asst. HC","Coaching","Kevin Sumlin",2001
"2001–2002","Texas A&M","OC/asst. HC","Coaching","Kevin Sumlin",2002
"2003–2005","Oklahoma","ST/TE","Coaching","Kevin Sumlin",2003
"2003–2005","Oklahoma","ST/TE","Coaching","Kevin Sumlin",2004
"2003–2005","Oklahoma","ST/TE","Coaching","Kevin Sumlin",2005
"2006–2007","Oklahoma","Co-OC/WR","Coaching","Kevin Sumlin",2006
"2006–2007","Oklahoma","Co-OC/WR","Coaching","Kevin Sumlin",2007
"2008–2011","Houston","HC","Coaching","Kevin Sumlin",2008
"2008–2011","Houston","HC","Coaching","Kevin Sumlin",2009
"2008–2011","Houston","HC","Coaching","Kevin Sumlin",2010
"2008–2011","Houston","HC","Coaching","Kevin Sumlin",2011
"2012–2013","Texas A&M","HC","Coaching","Kevin Sumlin",2012
"2012–2013","Texas A&M","HC","Coaching","Kevin Sumlin",2013
"1978","Florida","QB","Coaching","Steve Spurrier",1978
"1979","Georgia Tech","QB","Coaching","Steve Spurrier",1979
"1980–1982","Duke","OC","Coaching","Steve Spurrier",1980
"1980–1982","Duke","OC","Coaching","Steve Spurrier",1981
"1980–1982","Duke","OC","Coaching","Steve Spurrier",1982
"1983–1985","Tampa Bay Bandits","HC","Coaching","Steve Spurrier",1983
"1983–1985","Tampa Bay Bandits","HC","Coaching","Steve Spurrier",1984
"1983–1985","Tampa Bay Bandits","HC","Coaching","Steve Spurrier",1985
"1987–1989","Duke","HC","Coaching","Steve Spurrier",1987
"1987–1989","Duke","HC","Coaching","Steve Spurrier",1988
"1987–1989","Duke","HC","Coaching","Steve Spurrier",1989
"1990–2001","Florida","HC","Coaching","Steve Spurrier",1990
"1990–2001","Florida","HC","Coaching","Steve Spurrier",1991
"1990–2001","Florida","HC","Coaching","Steve Spurrier",1992
"1990–2001","Florida","HC","Coaching","Steve Spurrier",1993
"1990–2001","Florida","HC","Coaching","Steve Spurrier",1994
"1990–2001","Florida","HC","Coaching","Steve Spurrier",1995
"1990–2001","Florida","HC","Coaching","Steve Spurrier",1996
"1990–2001","Florida","HC","Coaching","Steve Spurrier",1997
"1990–2001","Florida","HC","Coaching","Steve Spurrier",1998
"1990–2001","Florida","HC","Coaching","Steve Spurrier",1999
"1990–2001","Florida","HC","Coaching","Steve Spurrier",2000
"1990–2001","Florida","HC","Coaching","Steve Spurrier",2001
"2002–2003","Washington Redskins","HC","Coaching","Steve Spurrier",2002
"2002–2003","Washington Redskins","HC","Coaching","Steve Spurrier",2003
"2005–2013","South Carolina","HC","Coaching","Steve Spurrier",2005
"2005–2013","South Carolina","HC","Coaching","Steve Spurrier",2006
"2005–2013","South Carolina","HC","Coaching","Steve Spurrier",2007
"2005–2013","South Carolina","HC","Coaching","Steve Spurrier",2008
"2005–2013","South Carolina","HC","Coaching","Steve Spurrier",2009
"2005–2013","South Carolina","HC","Coaching","Steve Spurrier",2010
"2005–2013","South Carolina","HC","Coaching","Steve Spurrier",2011
"2005–2013","South Carolina","HC","Coaching","Steve Spurrier",2012
"2005–2013","South Carolina","HC","Coaching","Steve Spurrier",2013
"1995","Kutztown","WR","Coaching","James Franklin",1995
"1996","East Stroudsburg","DB","Coaching","James Franklin",1996
"1996","Roskilde Kings","OC","Coaching","James Franklin",1996
"1997","James Madison","WR","Coaching","James Franklin",1997
"1998","Washington State","TE","Coaching","James Franklin",1998
"1999","Idaho State","WR","Coaching","James Franklin",1999
"2000–2004","Maryland","WR","Coaching","James Franklin",2000
"2000–2004","Maryland","WR","Coaching","James Franklin",2001
"2000–2004","Maryland","WR","Coaching","James Franklin",2002
"2000–2004","Maryland","WR","Coaching","James Franklin",2003
"2000–2004","Maryland","WR","Coaching","James Franklin",2004
"2005","Green Bay Packers","WR","Coaching","James Franklin",2005
"2006–2007","Kansas State","OC/QB","Coaching","James Franklin",2006
"2006–2007","Kansas State","OC/QB","Coaching","James Franklin",2007
"2008–2010","Maryland","OC","Coaching","James Franklin",2008
"2008–2010","Maryland","OC","Coaching","James Franklin",2009
"2008–2010","Maryland","OC","Coaching","James Franklin",2010
"2011–2013","Vanderbilt","HC","Coaching","James Franklin",2011
"2011–2013","Vanderbilt","HC","Coaching","James Franklin",2012
"2011–2013","Vanderbilt","HC","Coaching","James Franklin",2013
"2000","Eastern Oregon","RB/WR","Coaching","Bryan Harsin",2000
"2001","Boise State","GA","Coaching","Bryan Harsin",2001
"2002–2005","Boise State","TE","Coaching","Bryan Harsin",2002
"2002–2005","Boise State","TE","Coaching","Bryan Harsin",2003
"2002–2005","Boise State","TE","Coaching","Bryan Harsin",2004
"2002–2005","Boise State","TE","Coaching","Bryan Harsin",2005
"2006–2010","Boise State","OC/QB","Coaching","Bryan Harsin",2006
"2006–2010","Boise State","OC/QB","Coaching","Bryan Harsin",2007
"2006–2010","Boise State","OC/QB","Coaching","Bryan Harsin",2008
"2006–2010","Boise State","OC/QB","Coaching","Bryan Harsin",2009
"2006–2010","Boise State","OC/QB","Coaching","Bryan Harsin",2010
"2011–2012","Texas","Co-OC/QB","Coaching","Bryan Harsin",2011
"2011–2012","Texas","Co-OC/QB","Coaching","Bryan Harsin",2012
"2013–2013","Arkansas State","HC","Coaching","Bryan Harsin",2013
"1992–1993","Central Arkansas","GA","Coaching","Mark Hudspeth",1992
"1992–1993","Central Arkansas","GA","Coaching","Mark Hudspeth",1993
"1994–1995","Nicholls State","WR/TE/RB","Coaching","Mark Hudspeth",1994
"1994–1995","Nicholls State","WR/TE/RB","Coaching","Mark Hudspeth",1995
"1996–1997","Winston Academy","HC","Coaching","Mark Hudspeth",1996
"1996–1997","Winston Academy","HC","Coaching","Mark Hudspeth",1997
"1998","Central Arkansas","DB","Coaching","Mark Hudspeth",1998
"1999–2000","Delta State","OC","Coaching","Mark Hudspeth",1999
"1999–2000","Delta State","OC","Coaching","Mark Hudspeth",2000
"2001","Navy","OC","Coaching","Mark Hudspeth",2001
"2002–2008","North Alabama","HC","Coaching","Mark Hudspeth",2002
"2002–2008","North Alabama","HC","Coaching","Mark Hudspeth",2003
"2002–2008","North Alabama","HC","Coaching","Mark Hudspeth",2004
"2002–2008","North Alabama","HC","Coaching","Mark Hudspeth",2005
"2002–2008","North Alabama","HC","Coaching","Mark Hudspeth",2006
"2002–2008","North Alabama","HC","Coaching","Mark Hudspeth",2007
"2002–2008","North Alabama","HC","Coaching","Mark Hudspeth",2008
"2009–2010","Mississippi State","WR","Coaching","Mark Hudspeth",2009
"2009–2010","Mississippi State","WR","Coaching","Mark Hudspeth",2010
"2011–2013","Louisiana–Lafayette","HC","Coaching","Mark Hudspeth",2011
"2011–2013","Louisiana–Lafayette","HC","Coaching","Mark Hudspeth",2012
"2011–2013","Louisiana–Lafayette","HC","Coaching","Mark Hudspeth",2013
"1991-1993","","HC","Coaching","Joey Jones",1991
"1991-1993","","HC","Coaching","Joey Jones",1992
"1991-1993","","HC","Coaching","Joey Jones",1993
"1996-2005","Dora High School","HC","Coaching","Joey Jones",1996
"1996-2005","Dora High School","HC","Coaching","Joey Jones",1997
"1996-2005","Dora High School","HC","Coaching","Joey Jones",1998
"1996-2005","Dora High School","HC","Coaching","Joey Jones",1999
"1996-2005","Dora High School","HC","Coaching","Joey Jones",2000
"1996-2005","Dora High School","HC","Coaching","Joey Jones",2001
"1996-2005","Dora High School","HC","Coaching","Joey Jones",2002
"1996-2005","Dora High School","HC","Coaching","Joey Jones",2003
"1996-2005","Dora High School","HC","Coaching","Joey Jones",2004
"1996-2005","Dora High School","HC","Coaching","Joey Jones",2005
"2006-2007","Mountain Brook H.S.Birmingham–Southern","HC","Coaching","Joey Jones",2006
"2006-2007","Mountain Brook H.S.Birmingham–Southern","HC","Coaching","Joey Jones",2007
"2008-2013","South Alabama","HC","Coaching","Joey Jones",2008
"2008-2013","South Alabama","HC","Coaching","Joey Jones",2009
"2008-2013","South Alabama","HC","Coaching","Joey Jones",2010
"2008-2013","South Alabama","HC","Coaching","Joey Jones",2011
"2008-2013","South Alabama","HC","Coaching","Joey Jones",2012
"2008-2013","South Alabama","HC","Coaching","Joey Jones",2013
"1977–1990","Auburn","Assistant","Coaching","Larry Blakeney",1977
"1977–1990","Auburn","Assistant","Coaching","Larry Blakeney",1978
"1977–1990","Auburn","Assistant","Coaching","Larry Blakeney",1979
"1977–1990","Auburn","Assistant","Coaching","Larry Blakeney",1980
"1977–1990","Auburn","Assistant","Coaching","Larry Blakeney",1981
"1977–1990","Auburn","Assistant","Coaching","Larry Blakeney",1982
"1977–1990","Auburn","Assistant","Coaching","Larry Blakeney",1983
"1977–1990","Auburn","Assistant","Coaching","Larry Blakeney",1984
"1977–1990","Auburn","Assistant","Coaching","Larry Blakeney",1985
"1977–1990","Auburn","Assistant","Coaching","Larry Blakeney",1986
"1977–1990","Auburn","Assistant","Coaching","Larry Blakeney",1987
"1977–1990","Auburn","Assistant","Coaching","Larry Blakeney",1988
"1977–1990","Auburn","Assistant","Coaching","Larry Blakeney",1989
"1977–1990","Auburn","Assistant","Coaching","Larry Blakeney",1990
"1991–2013","Troy","HC","Coaching","Larry Blakeney",1991
"1991–2013","Troy","HC","Coaching","Larry Blakeney",1992
"1991–2013","Troy","HC","Coaching","Larry Blakeney",1993
"1991–2013","Troy","HC","Coaching","Larry Blakeney",1994
"1991–2013","Troy","HC","Coaching","Larry Blakeney",1995
"1991–2013","Troy","HC","Coaching","Larry Blakeney",1996
"1991–2013","Troy","HC","Coaching","Larry Blakeney",1997
"1991–2013","Troy","HC","Coaching","Larry Blakeney",1998
"1991–2013","Troy","HC","Coaching","Larry Blakeney",1999
"1991–2013","Troy","HC","Coaching","Larry Blakeney",2000
"1991–2013","Troy","HC","Coaching","Larry Blakeney",2001
"1991–2013","Troy","HC","Coaching","Larry Blakeney",2002
"1991–2013","Troy","HC","Coaching","Larry Blakeney",2003
"1991–2013","Troy","HC","Coaching","Larry Blakeney",2004
"1991–2013","Troy","HC","Coaching","Larry Blakeney",2005
"1991–2013","Troy","HC","Coaching","Larry Blakeney",2006
"1991–2013","Troy","HC","Coaching","Larry Blakeney",2007
"1991–2013","Troy","HC","Coaching","Larry Blakeney",2008
"1991–2013","Troy","HC","Coaching","Larry Blakeney",2009
"1991–2013","Troy","HC","Coaching","Larry Blakeney",2010
"1991–2013","Troy","HC","Coaching","Larry Blakeney",2011
"1991–2013","Troy","HC","Coaching","Larry Blakeney",2012
"1991–2013","Troy","HC","Coaching","Larry Blakeney",2013
"1983","Carroll","GA","Coaching","Bobby Petrino",1983
"1984","Weber State","GA","Coaching","Bobby Petrino",1984
"1985–1986","Carroll","OC","Coaching","Bobby Petrino",1985
"1985–1986","Carroll","OC","Coaching","Bobby Petrino",1986
"1987–1988","Weber State","WR/TE","Coaching","Bobby Petrino",1987
"1987–1988","Weber State","WR/TE","Coaching","Bobby Petrino",1988
"1989","Idaho","QB","Coaching","Bobby Petrino",1989
"1990–1991","Idaho","OC","Coaching","Bobby Petrino",1990
"1990–1991","Idaho","OC","Coaching","Bobby Petrino",1991
"1992–1993","Arizona State","QB","Coaching","Bobby Petrino",1992
"1992–1993","Arizona State","QB","Coaching","Bobby Petrino",1993
"1994","Nevada","OC/QB","Coaching","Bobby Petrino",1994
"1995–1997","Utah State","OC","Coaching","Bobby Petrino",1995
"1995–1997","Utah State","OC","Coaching","Bobby Petrino",1996
"1995–1997","Utah State","OC","Coaching","Bobby Petrino",1997
"1998","Louisville","OC","Coaching","Bobby Petrino",1998
"1999–2000","Jacksonville Jaguars","QB","Coaching","Bobby Petrino",1999
"1999–2000","Jacksonville Jaguars","QB","Coaching","Bobby Petrino",2000
"2001","Jacksonville Jaguars","OC","Coaching","Bobby Petrino",2001
"2002","Auburn","OC","Coaching","Bobby Petrino",2002
"2003–2006","Louisville","HC","Coaching","Bobby Petrino",2003
"2003–2006","Louisville","HC","Coaching","Bobby Petrino",2004
"2003–2006","Louisville","HC","Coaching","Bobby Petrino",2005
"2003–2006","Louisville","HC","Coaching","Bobby Petrino",2006
"2007","Atlanta Falcons","HC","Coaching","Bobby Petrino",2007
"2008–2011","Arkansas","HC","Coaching","Bobby Petrino",2008
"2008–2011","Arkansas","HC","Coaching","Bobby Petrino",2009
"2008–2011","Arkansas","HC","Coaching","Bobby Petrino",2010
"2008–2011","Arkansas","HC","Coaching","Bobby Petrino",2011
"2013–2013","Western Kentucky","HC","Coaching","Bobby Petrino",2013
"1972–1975","Southern Arkansas","Safety","Playing","Tommy Tuberville",1972
"1972–1975","Southern Arkansas","Safety","Playing","Tommy Tuberville",1973
"1972–1975","Southern Arkansas","Safety","Playing","Tommy Tuberville",1974
"1972–1975","Southern Arkansas","Safety","Playing","Tommy Tuberville",1975
"1985–1987","Alabama","Wide Receiver","Playing","T. J. Weist",1985
"1985–1987","Alabama","Wide Receiver","Playing","T. J. Weist",1986
"1985–1987","Alabama","Wide Receiver","Playing","T. J. Weist",1987
"1996","Minnesota","Wide receiver","Playing","Tony Levine",1996
"1992–1995","Minnesota Fighting Pike","Wide receiver","Playing","Tony Levine",1992
"1992–1995","Minnesota Fighting Pike","Wide receiver","Playing","Tony Levine",1993
"1992–1995","Minnesota Fighting Pike","Wide receiver","Playing","Tony Levine",1994
"1992–1995","Minnesota Fighting Pike","Wide receiver","Playing","Tony Levine",1995
"1980–1983","Central Arkansas","NA","Playing","Charlie Strong",1980
"1980–1983","Central Arkansas","NA","Playing","Charlie Strong",1981
"1980–1983","Central Arkansas","NA","Playing","Charlie Strong",1982
"1980–1983","Central Arkansas","NA","Playing","Charlie Strong",1983
"1998–1999","Oklahoma","Quarterback","Playing","Justin Fuente",1998
"1998–1999","Oklahoma","Quarterback","Playing","Justin Fuente",1999
"2000–2001","Murray State","Quarterback","Playing","Justin Fuente",2000
"2000–2001","Murray State","Quarterback","Playing","Justin Fuente",2001
"1996–1997","Oklahoma Wranglers","Quarterback","Playing","Justin Fuente",1996
"1996–1997","Oklahoma Wranglers","Quarterback","Playing","Justin Fuente",1997
"1989–1992","Iona","Lineman","Playing","Kyle Flood",1989
"1989–1992","Iona","Lineman","Playing","Kyle Flood",1990
"1989–1992","Iona","Lineman","Playing","Kyle Flood",1991
"1989–1992","Iona","Lineman","Playing","Kyle Flood",1992
"1973–1974","Oregon","Quarterback","Playing","June Jones",1973
"1973–1974","Oregon","Quarterback","Playing","June Jones",1974
"1975–1976","Hawaii","Quarterback","Playing","June Jones",1975
"1975–1976","Hawaii","Quarterback","Playing","June Jones",1976
"1977–1981","Portland State","Quarterback","Playing","June Jones",1977
"1977–1981","Portland State","Quarterback","Playing","June Jones",1978
"1977–1981","Portland State","Quarterback","Playing","June Jones",1979
"1977–1981","Portland State","Quarterback","Playing","June Jones",1980
"1977–1981","Portland State","Quarterback","Playing","June Jones",1981
"1982","Atlanta Falcons","Quarterback","Playing","June Jones",1982
"1971–1972","Toronto Argonauts","Quarterback","Playing","June Jones",1971
"1971–1972","Toronto Argonauts","Quarterback","Playing","June Jones",1972
"1995–1998","WKU","Quarterback","Playing","Willie Taggart",1995
"1995–1998","WKU","Quarterback","Playing","Willie Taggart",1996
"1995–1998","WKU","Quarterback","Playing","Willie Taggart",1997
"1995–1998","WKU","Quarterback","Playing","Willie Taggart",1998
"1994–1997","Penn State","Linebacker","Playing","Matt Rhule",1994
"1994–1997","Penn State","Linebacker","Playing","Matt Rhule",1995
"1994–1997","Penn State","Linebacker","Playing","Matt Rhule",1996
"1994–1997","Penn State","Linebacker","Playing","Matt Rhule",1997
"1978–1981","Central Connecticut","NA","Playing","Steve Addazio",1978
"1978–1981","Central Connecticut","NA","Playing","Steve Addazio",1979
"1978–1981","Central Connecticut","NA","Playing","Steve Addazio",1980
"1978–1981","Central Connecticut","NA","Playing","Steve Addazio",1981
"1990–1992","Alabama","Wide receiver","Playing","Dabo Swinney",1990
"1990–1992","Alabama","Wide receiver","Playing","Dabo Swinney",1991
"1990–1992","Alabama","Wide receiver","Playing","Dabo Swinney",1992
"1987","Salem College","Quarterback","Playing","Jimbo Fisher",1987
"1988","Samford","Quarterback","Playing","Jimbo Fisher",1988
"1985–1986","Chicago Bruisers","Quarterback","Playing","Jimbo Fisher",1985
"1985–1986","Chicago Bruisers","Quarterback","Playing","Jimbo Fisher",1986
"1976–1979","Syracuse","Quarterback","Playing","Randy Edsall",1976
"1976–1979","Syracuse","Quarterback","Playing","Randy Edsall",1977
"1976–1979","Syracuse","Quarterback","Playing","Randy Edsall",1978
"1976–1979","Syracuse","Quarterback","Playing","Randy Edsall",1979
"1981–1984","Austin","Wide receiver","Playing","Larry Fedora",1981
"1981–1984","Austin","Wide receiver","Playing","Larry Fedora",1982
"1981–1984","Austin","Wide receiver","Playing","Larry Fedora",1983
"1981–1984","Austin","Wide receiver","Playing","Larry Fedora",1984
"1990–1993","Drake","NA","Playing","Dave Doeren",1990
"1990–1993","Drake","NA","Playing","Dave Doeren",1991
"1990–1993","Drake","NA","Playing","Dave Doeren",1992
"1990–1993","Drake","NA","Playing","Dave Doeren",1993
"1986–1988","Wisconsin","Quarterback","Playing","Paul Chryst",1986
"1986–1988","Wisconsin","Quarterback","Playing","Paul Chryst",1987
"1986–1988","Wisconsin","Quarterback","Playing","Paul Chryst",1988
"1987–1989","Ohio","Quarterback","Playing","Scott Shafer",1987
"1987–1989","Ohio","Quarterback","Playing","Scott Shafer",1988
"1987–1989","Ohio","Quarterback","Playing","Scott Shafer",1989
"1985","Baldwin–Wallace","Quarterback","Playing","Scott Shafer",1985
"1979–1982","Richmond","Defensive Back","Playing","Mike London",1979
"1979–1982","Richmond","Defensive Back","Playing","Mike London",1980
"1979–1982","Richmond","Defensive Back","Playing","Mike London",1981
"1979–1982","Richmond","Defensive Back","Playing","Mike London",1982
"1966–1969","Virginia Tech","Cornerback","Playing","Frank Beamer",1966
"1966–1969","Virginia Tech","Cornerback","Playing","Frank Beamer",1967
"1966–1969","Virginia Tech","Cornerback","Playing","Frank Beamer",1968
"1966–1969","Virginia Tech","Cornerback","Playing","Frank Beamer",1969
"1973–1974","Ferrum","Guard, linebacker","Playing","Jim Grobe",1973
"1973–1974","Ferrum","Guard, linebacker","Playing","Jim Grobe",1974
"1971–1972","Virginia","Guard, linebacker","Playing","Jim Grobe",1971
"1971–1972","Virginia","Guard, linebacker","Playing","Jim Grobe",1972
"1974–1977","Houston","Wide receiver","Playing","Art Briles",1974
"1974–1977","Houston","Wide receiver","Playing","Art Briles",1975
"1974–1977","Houston","Wide receiver","Playing","Art Briles",1976
"1974–1977","Houston","Wide receiver","Playing","Art Briles",1977
"1985–1988","Missouri Western","Defensive back","Playing","Paul Rhoads",1985
"1985–1988","Missouri Western","Defensive back","Playing","Paul Rhoads",1986
"1985–1988","Missouri Western","Defensive back","Playing","Paul Rhoads",1987
"1985–1988","Missouri Western","Defensive back","Playing","Paul Rhoads",1988
"1959–1962","Missouri","Quarterback, defensive back","Playing","Bill Snyder",1959
"1959–1962","Missouri","Quarterback, defensive back","Playing","Bill Snyder",1960
"1959–1962","Missouri","Quarterback, defensive back","Playing","Bill Snyder",1961
"1959–1962","Missouri","Quarterback, defensive back","Playing","Bill Snyder",1962
"1958","William Jewell","Quarterback, defensive back","Playing","Bill Snyder",1958
"1979–1982","Iowa","Defensive back","Playing","Bob Stoops",1979
"1979–1982","Iowa","Defensive back","Playing","Bob Stoops",1980
"1979–1982","Iowa","Defensive back","Playing","Bob Stoops",1981
"1979–1982","Iowa","Defensive back","Playing","Bob Stoops",1982
"1986–1989","Oklahoma State","Quarterback","Playing","Mike Gundy",1986
"1986–1989","Oklahoma State","Quarterback","Playing","Mike Gundy",1987
"1986–1989","Oklahoma State","Quarterback","Playing","Mike Gundy",1988
"1986–1989","Oklahoma State","Quarterback","Playing","Mike Gundy",1989
"1980–1981","Dodge City CCKansas State","Safety, linebacker","Playing","Gary Patterson",1980
"1980–1981","Dodge City CCKansas State","Safety, linebacker","Playing","Gary Patterson",1981
"1972–1973","Vanderbilt","Running back","Playing","Mack Brown",1972
"1972–1973","Vanderbilt","Running back","Playing","Mack Brown",1973
"1969–1970","Florida State","Running back","Playing","Mack Brown",1969
"1969–1970","Florida State","Running back","Playing","Mack Brown",1970
"2003","Texas Tech","Quarterback","Playing","Kliff Kingsbury",2003
"2004","New England Patriots","Quarterback","Playing","Kliff Kingsbury",2004
"2005","New Orleans Saints","Quarterback","Playing","Kliff Kingsbury",2005
"2006","New York Jets","Quarterback","Playing","Kliff Kingsbury",2006
"2007","Cologne Centurions","Quarterback","Playing","Kliff Kingsbury",2007
"1998–2002","Winnipeg Blue Bombers","Quarterback","Playing","Kliff Kingsbury",1998
"1998–2002","Winnipeg Blue Bombers","Quarterback","Playing","Kliff Kingsbury",1999
"1998–2002","Winnipeg Blue Bombers","Quarterback","Playing","Kliff Kingsbury",2000
"1998–2002","Winnipeg Blue Bombers","Quarterback","Playing","Kliff Kingsbury",2001
"1998–2002","Winnipeg Blue Bombers","Quarterback","Playing","Kliff Kingsbury",2002
"1991–1992","Iowa Wesleyan","NA","Playing","Dana Holgorsen",1991
"1991–1992","Iowa Wesleyan","NA","Playing","Dana Holgorsen",1992
"1984–1985","Findlay","NA","Playing","Tim Beckman",1984
"1984–1985","Findlay","NA","Playing","Tim Beckman",1985
"1980–1983","North Carolina","Center, guard","Playing","Kevin Wilson",1980
"1980–1983","North Carolina","Center, guard","Playing","Kevin Wilson",1981
"1980–1983","North Carolina","Center, guard","Playing","Kevin Wilson",1982
"1980–1983","North Carolina","Center, guard","Playing","Kevin Wilson",1983
"1974–1976","Connecticut","Linebacker","Playing","Kirk Ferentz",1974
"1974–1976","Connecticut","Linebacker","Playing","Kirk Ferentz",1975
"1974–1976","Connecticut","Linebacker","Playing","Kirk Ferentz",1976
"1977–1980","Ball State","Linebacker","Playing","Brady Hoke",1977
"1977–1980","Ball State","Linebacker","Playing","Brady Hoke",1978
"1977–1980","Ball State","Linebacker","Playing","Brady Hoke",1979
"1977–1980","Ball State","Linebacker","Playing","Brady Hoke",1980
"1976–1978","South Carolina","Defensive back","Playing","Mark Dantonio",1976
"1976–1978","South Carolina","Defensive back","Playing","Mark Dantonio",1977
"1976–1978","South Carolina","Defensive back","Playing","Mark Dantonio",1978
"1979–1982","Southwestern","Linebacker","Playing","Jerry Kill",1979
"1979–1982","Southwestern","Linebacker","Playing","Jerry Kill",1980
"1979–1982","Southwestern","Linebacker","Playing","Jerry Kill",1981
"1979–1982","Southwestern","Linebacker","Playing","Jerry Kill",1982
"1987–1990","Ohio State","Free safety","Playing","Bo Pelini",1987
"1987–1990","Ohio State","Free safety","Playing","Bo Pelini",1988
"1987–1990","Ohio State","Free safety","Playing","Bo Pelini",1989
"1987–1990","Ohio State","Free safety","Playing","Bo Pelini",1990
"1997","Northwestern","Linebacker","Playing","Pat Fitzgerald",1997
"1993–1996","Dallas Cowboys","Linebacker","Playing","Pat Fitzgerald",1993
"1993–1996","Dallas Cowboys","Linebacker","Playing","Pat Fitzgerald",1994
"1993–1996","Dallas Cowboys","Linebacker","Playing","Pat Fitzgerald",1995
"1993–1996","Dallas Cowboys","Linebacker","Playing","Pat Fitzgerald",1996
"1984","Cincinnati","Defensive back","Playing","Urban Meyer",1984
"1990–1992","Brown","Defensive end, linebacker","Playing","Bill O'Brien",1990
"1990–1992","Brown","Defensive end, linebacker","Playing","Bill O'Brien",1991
"1990–1992","Brown","Defensive end, linebacker","Playing","Bill O'Brien",1992
"1982–1985","Muskingum","Wide Receiver","Playing","Darrell Hazell",1982
"1982–1985","Muskingum","Wide Receiver","Playing","Darrell Hazell",1983
"1982–1985","Muskingum","Wide Receiver","Playing","Darrell Hazell",1984
"1982–1985","Muskingum","Wide Receiver","Playing","Darrell Hazell",1985
"1985–1986","Ricks College","Center","Playing","Gary Andersen",1985
"1985–1986","Ricks College","Center","Playing","Gary Andersen",1986
"1984","Utah","Center","Playing","Gary Andersen",1984
"1976–1980","East Carolina","Defensive back","Playing","Ruffin McNeil",1976
"1976–1980","East Carolina","Defensive back","Playing","Ruffin McNeil",1977
